speaker,class,word_1,word_2,answer_1,answer_2,acc_1,acc_2,sonority,conf_1,conf_2,pair
EB,SIM,perponent,propose,PROFESSOR,OPPONENT,0,0,none,2,1,1
EB,SIM,preserve,presester,DISASTER,PROVISION,0,0,none,1,2,2
EB,SIM,inplacion,null,INFLATION,ENCOUNTER,0,0,none,2,0,3
EB,DIFF,provident,assistant,ASSISTANT,PROVIDER,0,1,less,2,2,4
EB,SIM,prostration,~~tation,VACATION,FRUSTRATION,0,0,none,2,2,5
EB,DIFF,intermission,profile,ADMISSION,SURVIVAL,0,0,none,2,2,6
EB,DIFF,suggestion,inhoil,SUGGESTION,EMPLOYER,1,0,less,3,1,7
EB,DIFF,devade,in~sion,DIVISION,VACATION,0,0,none,1,1,8
EB,SIM,duratial,decoration,ADVENTURE,DIRECTION,0,0,none,1,1,9
EB,DIFF,arrangement,null,COLLECTION,ARRANGEMENT,1,0,more,3,0,10
EB,DIFF,performer,profession,OFFICIAL,PERFORMER,1,0,more,3,2,11
EB,SIM,projestive,re~,RELIGION,PERSPECTIVE,0,0,none,1,1,12
EB,DIFF,replacement,co..,CONNECTION,REPLACEMENT,1,0,more,2,1,13
EB,DIFF,deposit,deposive,DEPOSIT,REPORTING,1,0,less,3,2,14
EB,DIFF,intation,inton~,INTENTION,CONTAINER,0,0,none,2,2,15
EB,DIFF,requirment,dequ~,PROFESSION,REQUIREMENT,1,0,more,3,1,16
EB,SIM,approval,disclosure,APPROVAL,DISORDER,1,0,less,3,2,17
EB,SIM,deny,~sition,DENIAL,MUSICIAN,0,0,none,3,2,18
EB,DIFF,donation,description,DESCRIPTION,DONATION,1,1,both,2,2,19
EB,SIM,ingester,progest,PROJECTION,INVESTOR,0,0,none,2,1,20
EB,SIM,indocter,ingation,INVENTION,REDUCTION,0,0,none,2,1,21
EB,SIM,production,construction,CORRUPTION,CONSTRUCTION,0,1,more,2,2,22
EB,SIM,agreement,treat,AGREEMENT,DIRECTOR,1,0,less,2,1,23
EB,SIM,reposal,proposal,REPORTING,PROPOSAL,0,1,more,1,1,24
EB,DIFF,relation,conjection,CONDITION,RELATION,1,0,more,3,2,25
EB,DIFF,location,clo~,CONFESSION,LOCATION,1,0,more,3,1,26
EB,SIM,transition,consist,CONSUMPTION,TRANSITION,1,0,more,3,2,27
EB,DIFF,designer,position,POSITION,DESIGNER,1,1,both,2,3,28
EB,SIM,aderver,prosition,PRODUCER,OBSERVER,0,0,none,1,1,29
EB,SIM,sustention,companion,COMPANION,DISTINCTION,0,1,less,2,3,30
EB,SIM,selection,cons~,COLLECTION,SELECTION,1,0,more,3,1,31
EB,SIM,expression,beginning,BEGINNING,EXPRESSION,1,1,both,3,2,32
EB,DIFF,innovation,trunvation,INVENTION,FOUNDATION,0,0,none,1,2,33
EB,SIM,recording,ex,RECORDING,EXCITEMENT,1,0,less,2,1,34
EB,DIFF,explesure,dehaiger,EXPRESSION,BEHAVIOR,0,0,none,2,2,35
EB,DIFF,extiction,outsider,EXTENSION,OUTSIDER,0,1,more,3,2,36
EB,DIFF,commissioin,~plation,COMMISSION,FRUSTRATION,1,0,less,2,2,37
EB,DIFF,purpontise,null,OBJECTIVE,PERFORMANCE,0,0,none,1,0,38
EB,SIM,accounting,null,ACCOUNTING,RESTRICTION,1,0,less,3,0,39
EB,SIM,collection,deloser,COLLECTOR,ILLUSION,0,0,none,3,2,40
EB,SIM,arrangement,survival,SURVIVAL,ARRANGEMENT,1,1,both,3,3,41
EB,DIFF,~bama,creation,DILEMMA,CREATION,0,1,more,2,3,42
EB,SIM,limposter,null,REPORTER,INSTRUCTOR,0,0,none,2,0,43
EB,DIFF,asisen,~sintion,OBJECTION,HORIZON,0,0,none,2,1,44
EB,DIFF,survival,distinction,ADVENTURE,SURVIVOR,0,0,none,3,2,45
EB,SIM,cosition,protention,CONFESSION,RESISTANCE,0,0,none,1,2,46
EB,DIFF,banana,prosition,BANANA,FORMATION,1,0,less,3,2,47
EB,SIM,position,suggestion,POSITION,SUGGESTION,1,1,both,3,3,48
